,StockCode,count,percent,pop1,pop2
102,N20685,676,0.13,0.0013056696192312001,0.0028171805776834426
103,N21213,668,0.13,0.0012902179077610085,0.0008659955521718845
104,N22467,666,0.13,0.0012863549798934604,0.0019465132134983921
105,N22865,663,0.13,0.0012805605880921386,0.0018437470402718908
106,N22835,662,0.13,0.0012786291241583647,0.0017049070219401173
107,N20713,661,0.13,0.0012766976602245905,0.0023764273408975554
108,N79321,652,0.13,0.001259314484820625,0.00565148762221948
109,N23321,650,0.13,0.001255451556953077,0.0008873304412076652
110,N21755,643,0.12,0.0012419313094166593,0.0012940645455207622
111,N22114,641,0.12,0.0012380683815491113,0.003436898126283886
112,N21915,641,0.12,0.0012380683815491113,0.002546093314510072
113,N22952,640,0.12,0.0012361369176153373,0.0009516047169433604
114,N21485,639,0.12,0.0012342054536815634,0.001851435098814748
115,N84992,634,0.12,0.0012245481340126935,0.000670591432980068
116,N23307,634,0.12,0.0012245481340126935,0.0006374495817081267
117,N82583,629,0.12,0.0012148908143438239,0.0017820561628383365
118,N22969,629,0.12,0.0012148908143438239,0.00180673061812609
119,N21975,627,0.12,0.0012110278864762758,0.0006302954746284515
120,N22909,626,0.12,0.0012090964225425019,0.000776962568452076
121,N82580,624,0.12,0.001205233494674954,0.00034974452733643524
122,N20972,624,0.12,0.001205233494674954,0.0009488001553132741
123,N84755,622,0.12,0.001201370566807406,0.0010967173485191414
124,N22621,614,0.12,0.0011859188553372142,0.0009913856806884759
125,N21914,606,0.12,0.0011704671438670226,0.000999485524284793
126,N48138,603,0.12,0.0011646727520657006,0.002613229022445896
127,N21791,602,0.12,0.0011627412881319266,0.0010696606482418066
128,N22083,601,0.12,0.0011608098241981527,0.0014279294421324729
129,N48187,600,0.12,0.0011588783602643788,0.0025340936242309875
130,N82486,600,0.12,0.0011588783602643788,0.001886662204321601
131,N21889,598,0.12,0.001155015432396831,0.0009222816191339395
132,N23200,596,0.12,0.0011511525045292828,0.0014616242017242774
133,N84692,593,0.11,0.001145358112727961,0.00045375132151683856
134,N48194,589,0.11,0.001137632256992865,0.00230686726162397
135,N22113,587,0.11,0.0011337693291253172,0.0013422855231237484
136,N22328,586,0.11,0.0011318378651915433,0.001591198529773851
137,N21559,583,0.11,0.0011260434733902213,0.0010212616868177597
138,N23322,581,0.11,0.0011221805455226734,0.0009273810135811333
139,N23204,581,0.11,0.0011221805455226734,0.0007912581447069723
140,N22866,578,0.11,0.0011163861537213516,0.0014963089304983127
141,N20718,577,0.11,0.0011144546897875775,0.0006846100284956806
142,N22557,573,0.11,0.0011067288340524818,0.0007662719544426867
143,N22553,573,0.11,0.0011067288340524818,0.0007250597480181542
144,N22730,566,0.11,0.001093208586516064,0.0011753409116036623
145,N22867,563,0.11,0.001087414194714742,0.0014694396924703793
146,N22556,563,0.11,0.001087414194714742,0.0009819820266159865
147,N22144,555,0.11,0.0010719624832445504,0.0010128206198011841
148,N22577,555,0.11,0.0010719624832445504,0.00042926116900237276
149,N22219,552,0.11,0.0010661680914432286,0.00041989226916713205
150,N23293,551,0.11,0.0010642366275094544,0.0006962400600694849
151,N22149,550,0.11,0.0010623051635756805,0.0010594123608883078
152,N22367,549,0.11,0.0010603736996419066,0.0007701728542841582
153,N21174,547,0.11,0.0010565107717743587,0.0009914246475605424
154,N82600,546,0.11,0.0010545793078405848,0.0013435756425367626
155,N84836,542,0.1,0.0010468534521054888,0.0007661013427325575
156,N22900,541,0.1,0.001044921988171715,0.0015524064820522617
157,N21314,541,0.1,0.001044921988171715,0.0010260588247167617
158,N84596B,537,0.1,0.001037196132436619,0.00026859338336111214
159,N22625,535,0.1,0.001033333204569071,0.0014555074559685355
160,N84970S,532,0.1,0.001027538812767749,0.0007939721346884713
161,N22578,530,0.1,0.0010236758849002012,0.0004018853616375742
162,N22998,530,0.1,0.0010236758849002012,0.0005437753275775825
163,N23240,529,0.1,0.0010217444209664273,0.0015852481830934202
164,N82483,527,0.1,0.0010178814930988794,0.0014964879674780776
165,N84077,527,0.1,0.0010178814930988794,0.0014254334560028056
166,N22189,526,0.1,0.0010159500291651055,0.0024606758246228156
167,N21094,524,0.1,0.0010120871012975574,0.0006935576648491209
168,N22616,523,0.1,0.0010101556373637835,0.0008275131331094187
169,N22417,523,0.1,0.0010101556373637835,0.0004591919393842907
170,N22029,523,0.1,0.0010101556373637835,0.0003447841498382356
171,N21936,522,0.1,0.0010082241734300096,0.001181790455510026
172,N22776,521,0.1,0.0010062927094962356,0.0013373198798320263
173,N20711,520,0.1,0.0010043612455624617,0.0011350017737451609
174,N22555,519,0.1,0.0010024297816286875,0.000974970095961419
175,N20971,519,0.1,0.0010024297816286875,0.0010027755920776539
176,N15036,515,0.1,0.0009947039258935918,0.0019005217728728337
177,N21479,512,0.1,0.0009889095340922698,0.002167132058393371
178,N84375,511,0.1,0.0009869780701584959,0.000978684586712194
179,N21935,511,0.1,0.0009869780701584959,0.0006567402896984711
180,N22766,508,0.1,0.000981183678357174,0.0010186667037698693
181,N21231,505,0.1,0.0009753892865558522,0.0007865547379326711
182,N22633,505,0.1,0.0009753892865558522,0.0010530028370127147
183,N21843,504,0.1,0.0009734578226220781,0.0019171806372606304
184,N84988,500,0.1,0.0009657319668869823,0.0006499779576568703
185,N22427,499,0.1,0.0009638005029532084,0.0012843596880587858
186,N85066,499,0.1,0.0009638005029532084,0.002302578799379242
187,N21481,497,0.1,0.0009599375750856604,0.0011834681373262962
188,N23356,496,0.1,0.0009580061111518865,0.0014099551825227546
189,N21523,495,0.1,0.0009560746472181124,0.0022598037054372302
190,N22173,492,0.1,0.0009502802554167907,0.0007546703581539039
191,N22147,489,0.09,0.0009444858636154688,0.0006558166695146237
192,N22352,487,0.09,0.0009406229357479208,0.0008260050098445734
193,N23198,482,0.09,0.0009309656160790509,0.00051274611266687
194,N22620,480,0.09,0.000927102688211503,0.0006027395771251833
195,N23343,480,0.09,0.000927102688211503,0.0013783983351010874
196,N23263,479,0.09,0.0009251712242777291,0.0005323390772054063
197,N21430,477,0.09,0.0009213082964101811,0.0012355636858031416
198,N21524,477,0.09,0.0009213082964101811,0.0014074739406149503
199,N21621,477,0.09,0.0009213082964101811,0.002520296192043321
200,N21172,477,0.09,0.0009213082964101811,0.0005575085170842752
201,N22804,476,0.09,0.0009193768324764072,0.0007817175800028981
202,N22196,475,0.09,0.0009174453685426332,0.0002690620389846151
203,N22595,474,0.09,0.0009155139046088592,0.000596073082525692
204,N85150,473,0.09,0.0009135824406750853,0.0009629798841106753
205,N22381,471,0.09,0.0009097195128075373,0.0007766982256172464
206,N21908,469,0.09,0.0009058565849399894,0.000800950364264495
207,N22456,468,0.09,0.0009039251210062154,0.0009859060959489573
208,N22568,468,0.09,0.0009039251210062154,0.0011351597475508363
209,N23205,468,0.09,0.0009039251210062154,0.0005796143182917508
210,N84997D,467,0.09,0.0009019936570724415,0.001978727231951668
211,N22150,467,0.09,0.0009019936570724415,0.0005798049400172654
212,N84347,466,0.09,0.0009000621931386675,0.0027755134066985657
213,N22141,466,0.09,0.0009000621931386675,0.0006779593312767569
214,N84029G,464,0.09,0.0008961992652711196,0.0016884282476907905
215,N21155,464,0.09,0.0008961992652711196,0.0009537247254155207
216,N35970,462,0.09,0.0008923363374035716,0.0009782622700716891
217,N21169,461,0.09,0.0008904048734697977,0.0007645426678498959
218,N22667,460,0.09,0.0008884734095360238,0.0007992052802911366
219,N22652,460,0.09,0.0008884734095360238,0.000842386893493086
220,N22502,459,0.09,0.0008865419456022497,0.0011906980718326956
221,N22749,458,0.09,0.0008846104816684758,0.0008579725891609961
222,N23243,457,0.09,0.0008826790177347019,0.0023281884595965923
223,N21165,452,0.09,0.000873021698065832,0.0007201162210592267
224,N22507,452,0.09,0.000873021698065832,0.0014843587386783401
225,N22663,450,0.09,0.0008691587701982841,0.0007387150037807141
226,N22771,450,0.09,0.0008691587701982841,0.0009436765382158769
227,N15056N,450,0.09,0.0008691587701982841,0.002270366887243375
228,N21992,449,0.09,0.0008672273062645101,0.0003696976721519108
229,N84970L,449,0.09,0.0008672273062645101,0.0006562832188207176
230,N21154,448,0.09,0.0008652958423307362,0.0006092796926801345
231,N23295,448,0.09,0.0008652958423307362,0.0004985537459650148
232,N84596F,448,0.09,0.0008652958423307362,0.00020345341117031747
233,N21932,447,0.09,0.0008633643783969622,0.0005118856820052927
234,N22617,445,0.09,0.0008595014505294143,0.0010215007538436813
235,N21668,445,0.09,0.0008595014505294143,0.0007875373350039705
236,N20676,445,0.09,0.0008595014505294143,0.000630273358295657
237,N22729,443,0.09,0.0008556385226618663,0.0009428613933785932
238,N22489,442,0.09,0.0008537070587280924,0.0003811328693653824
239,N22084,442,0.09,0.0008537070587280924,0.0015762226129958472
240,N22193,441,0.09,0.0008517755947943184,0.0011654854524469418
241,N21210,441,0.09,0.0008517755947943184,0.0007693050515116494
242,N84029E,439,0.08,0.0008479126669267705,0.0023214492970464904
243,N47591D,439,0.08,0.0008479126669267705,0.0006246231618460091
244,N22501,439,0.08,0.0008479126669267705,0.0020139722411564977
245,N22951,438,0.08,0.0008459812029929965,0.0004027963439169676
246,N22983,438,0.08,0.0008459812029929965,0.00023094085335779305
247,N82582,437,0.08,0.0008440497390592225,0.0009276632601139394
248,N22748,437,0.08,0.0008440497390592225,0.0004941557552150186
249,N22619,435,0.08,0.0008401868111916746,0.0008673067347589881
250,N22561,435,0.08,0.0008401868111916746,0.0009549800905912859
251,N21985,434,0.08,0.0008382553472579007,0.000288315886420302
252,N23182,434,0.08,0.0008382553472579007,0.0003865039787583374
253,N21891,433,0.08,0.0008363238833241267,0.0010345504433511528
254,N21669,433,0.08,0.0008363238833241267,0.0007335977056355437
255,N22692,433,0.08,0.0008363238833241267,0.0011646945302598618
256,N23170,432,0.08,0.0008343924193903527,0.0010954798870413526
257,N71459,432,0.08,0.0008343924193903527,0.001120131172837607
258,N21086,432,0.08,0.0008343924193903527,0.00048217186231650205
259,N22759,430,0.08,0.0008305294915228048,0.0009316178710493405
260,N21993,428,0.08,0.0008266665636552569,0.0003415751752656211
261,N23493,428,0.08,0.0008266665636552569,0.0008736141022402447
262,N21216,427,0.08,0.0008247350997214829,0.0010313330435089024
263,N22734,427,0.08,0.0008247350997214829,0.0010814802483824213
264,N22725,425,0.08,0.000820872171853935,0.0008325588164626829
265,N22082,425,0.08,0.000820872171853935,0.0004932289755550578
266,N22745,425,0.08,0.000820872171853935,0.00047263551024724566
267,N22988,424,0.08,0.000818940707920161,0.0011393397344490008
268,N23439,424,0.08,0.000818940707920161,0.000939039480439959
269,N23309,422,0.08,0.0008150777800526131,0.0004643534701950499
270,N22424,421,0.08,0.0008131463161188392,0.0012360797335683473
271,N21558,419,0.08,0.0008092833882512912,0.000580766473914475
272,N85049E,418,0.08,0.0008073519243175173,0.0003945248354518169
273,N21484,418,0.08,0.0008073519243175173,0.0008877411731024208
274,N21892,417,0.08,0.0008054204603837432,0.0004333242552843375
275,N22996,416,0.08,0.0008034889964499693,0.00022093900514114727
276,N22750,415,0.08,0.0008015575325161954,0.0006856115824236611
277,N23173,414,0.08,0.0007996260685824213,0.002484862667430385
278,N20717,414,0.08,0.0007996260685824213,0.00036354827847632956
279,N22661,414,0.08,0.0007996260685824213,0.000411779787666361
280,N22694,413,0.08,0.0007976946046486474,0.0004393693862481732
281,N21933,413,0.08,0.0007976946046486474,0.00048193911424280735
282,N23319,413,0.08,0.0007976946046486474,0.0009396808540910001
283,N22488,412,0.08,0.0007957631407148735,0.0005634746611452733
284,N21672,411,0.08,0.0007938316767810994,0.0007077963705339743
285,N21934,411,0.08,0.0007938316767810994,0.0004701068761977389
286,N22413,410,0.08,0.0007919002128473255,0.0011508697159458773
287,N22499,408,0.08,0.0007880372849797775,0.0013390807611859522
288,N22844,408,0.08,0.0007880372849797775,0.0009670018972031644
289,N22191,407,0.08,0.0007861058210460036,0.0012145605417592787
290,N23313,407,0.08,0.0007861058210460036,0.001649774163759491
291,N22585,406,0.08,0.0007841743571122297,0.0007771405522731367
292,N22632,405,0.08,0.0007822428931784557,0.0009473615405229259
293,N23328,405,0.08,0.0007822428931784557,0.0012778037751232669
294,N48184,400,0.08,0.0007725855735095859,0.0014791929952327626
295,N21976,397,0.08,0.000766791181708264,0.0002835787785674566
296,N21912,395,0.08,0.000762928253840716,0.0007382853150292776
297,N21035,395,0.08,0.000762928253840716,0.0008342965283251096
298,N22631,395,0.08,0.000762928253840716,0.0006466362850874887
299,N22371,393,0.08,0.0007590653259731681,0.0005325107420742399
300,N22646,392,0.08,0.0007571338620393942,0.00059435748699606
301,N23308,391,0.08,0.0007552023981056201,0.00033334684630735497
302,N22487,390,0.08,0.0007532709341718462,0.000774812018377485
303,N22560,389,0.08,0.0007513394702380723,0.0010081172130268828
304,N82581,388,0.07,0.0007494080063042982,0.0002253696438109829
305,N22297,388,0.07,0.0007494080063042982,0.0005696177358686274
306,N22142,387,0.07,0.0007474765423705243,0.0005196379832291245
307,N22212,386,0.07,0.0007455450784367504,0.0003846809610408463
308,N22570,385,0.07,0.0007436136145029763,0.0009178720436381939
309,N21218,383,0.07,0.0007397506866354285,0.0008512144697542133
310,N47590B,382,0.07,0.0007378192227016544,0.0011868066504195644
311,N22908,382,0.07,0.0007378192227016544,0.00036373047493220824
312,N21238,382,0.07,0.0007378192227016544,0.00033850627080070524
313,N47590A,381,0.07,0.0007358877587678805,0.0010422005881806481
314,N23103,381,0.07,0.0007358877587678805,0.0007163174776120915
315,N21121,381,0.07,0.0007358877587678805,0.000791824744089994
316,N21770,380,0.07,0.0007339562948341066,0.0007684509398022993
317,N22752,379,0.07,0.0007320248309003327,0.0014192335107094084
318,N22964,378,0.07,0.0007300933669665586,0.0005726013344784789
319,N22979,377,0.07,0.0007281619030327847,0.0006176849523007568
320,N21136,377,0.07,0.0007281619030327847,0.0008189614844288707
321,N22429,376,0.07,0.0007262304390990108,0.0005719367913359387
322,N21900,376,0.07,0.0007262304390990108,0.00019965677404059146
323,N23318,374,0.07,0.0007223675112314628,0.0008979757693927613
324,N23171,374,0.07,0.0007223675112314628,0.0010094726282795755
325,N22834,374,0.07,0.0007223675112314628,0.0007265984128854302
326,N20749,373,0.07,0.0007204360472976888,0.0012780944469257093
327,N23296,373,0.07,0.0007204360472976888,0.0005735702404866197
328,N20750,373,0.07,0.0007204360472976888,0.0012211090825838657
329,N21990,373,0.07,0.0007204360472976888,0.0002922989326407247
330,N21137,372,0.07,0.0007185045833639148,0.0042032880345014775
331,N21888,372,0.07,0.0007185045833639148,0.0006388860901810659
332,N22898,371,0.07,0.0007165731194301409,0.0005432950872083299
333,N21670,371,0.07,0.0007165731194301409,0.000636254246578518
334,N22195,371,0.07,0.0007165731194301409,0.0003572114225513472
335,N21673,370,0.07,0.000714641655496367,0.0006311685431944828
336,N21918,369,0.07,0.0007127101915625929,0.00027506925623508867
337,N21982,369,0.07,0.0007127101915625929,0.00024188843809108077
338,N20973,368,0.07,0.000710778727628819,0.0003148228378538872
339,N82552,368,0.07,0.000710778727628819,0.00048729442625519476
340,N21671,367,0.07,0.000708847263695045,0.0006346271163800641
341,N23241,367,0.07,0.000708847263695045,0.0004274086628411555
342,N22492,366,0.07,0.000706915799761271,0.001563853264011483
343,N22795,366,0.07,0.000706915799761271,0.0008788188125578884
344,N47566B,363,0.07,0.0007011214079599492,0.0011234696859308752
345,N20974,363,0.07,0.0007011214079599492,0.00046866404877257244
346,N84997B,362,0.07,0.0006991899440261752,0.0015594194658655337
347,N21907,362,0.07,0.0006991899440261752,0.0005086524847824748
348,N84947,361,0.07,0.0006972584800924012,0.0010844659533096816
349,N22989,360,0.07,0.0006953270161586273,0.0008501381415582132
350,N22851,360,0.07,0.0006953270161586273,0.00024909730942338995
351,N48185,360,0.07,0.0006953270161586273,0.002026894498460725
352,N22171,360,0.07,0.0006953270161586273,0.0013624619375845785
353,N22161,360,0.07,0.0006953270161586273,0.00017251160843207867
354,N21916,360,0.07,0.0006953270161586273,0.0002015145459953312
355,N22607,359,0.07,0.0006933955522248533,0.0013176774168343786
356,N21871,359,0.07,0.0006933955522248533,0.000626558867544882
357,N22027,359,0.07,0.0006933955522248533,0.00018481987421158162
358,N23256,358,0.07,0.0006914640882910793,0.0008493798672909726
359,N22348,358,0.07,0.0006914640882910793,0.0003558949741707209
360,N23351,358,0.07,0.0006914640882910793,0.000496658060296913
361,N20975,357,0.07,0.0006895326243573054,0.0004358202414140049
362,N22037,356,0.07,0.0006876011604235314,0.00017907489347852878
363,N22645,356,0.07,0.0006876011604235314,0.0004936081126886782
364,N21156,355,0.07,0.0006856696964897574,0.0006306051032875748
365,N22549,355,0.07,0.0006856696964897574,0.00043685865589664286
366,N23294,355,0.07,0.0006856696964897574,0.0003447230666333745
367,N22464,353,0.07,0.0006818067686222095,0.0005556907651603065
368,N23108,352,0.07,0.0006798753046884355,0.0012905333043845705
369,N21328,351,0.07,0.0006779438407546616,0.00025403030479527255
370,N23192,351,0.07,0.0006779438407546616,0.0006130426287313164
371,N22665,351,0.07,0.0006779438407546616,0.0005384200155651949
372,N82551,351,0.07,0.0006779438407546616,0.0004747734224173827
373,N21535,350,0.07,0.0006760123768208877,0.0006192689029923262
374,N22569,349,0.07,0.0006740809128871136,0.0009182564465653367
375,N21122,349,0.07,0.0006740809128871136,0.0006620197742841347
376,N22192,349,0.07,0.0006740809128871136,0.0007733017887952306
377,N21326,348,0.07,0.0006721494489533397,0.0007191041355442013
378,N22992,348,0.07,0.0006721494489533397,0.0009787256599016695
379,N22579,348,0.07,0.0006721494489533397,0.00020296579869013353
380,N21974,348,0.07,0.0006721494489533397,0.00033597342411638035
381,N23349,346,0.07,0.0006682865210857917,0.00044918271905671327
382,N85014B,346,0.07,0.0006682865210857917,0.0011396546289016464
383,N22847,346,0.07,0.0006682865210857917,0.0014394088720115334
384,N84945,346,0.07,0.0006682865210857917,0.0009112592601326323
385,N23581,346,0.07,0.0006682865210857917,0.0011599100302653136
386,N22169,344,0.07,0.0006644235932182439,0.0009882377893207224
387,N21877,343,0.07,0.0006624921292844698,0.0005772025848584435
388,N23503,343,0.07,0.0006624921292844698,0.0005075487744601577
389,N22041,343,0.07,0.0006624921292844698,0.001168691267543443
390,N84030E,342,0.07,0.0006605606653506959,0.0006760162534669525
391,N23311,342,0.07,0.0006605606653506959,0.0006747166556255984
392,N71053,342,0.07,0.0006605606653506959,0.0008807639966851018
393,N21533,342,0.07,0.0006605606653506959,0.0006812904722590936
394,N23320,341,0.07,0.000658629201416922,0.0007338536232007375
395,N84536A,341,0.07,0.000658629201416922,0.0001453885591563604
396,N22668,340,0.07,0.0006566977374831479,0.0006577997673551991
397,N21989,340,0.07,0.0006566977374831479,0.000226021549049069
398,N23275,339,0.07,0.000654766273549374,0.00047054814969492475
399,N22627,339,0.07,0.000654766273549374,0.0007562869567653128
400,N23168,339,0.07,0.000654766273549374,0.00047536108497449423
401,N23077,337,0.07,0.000650903345681826,0.0013994130638906998
402,N23583,337,0.07,0.000650903345681826,0.0005789560941014377
403,N23266,337,0.07,0.000650903345681826,0.0002777779804230652
404,N22791,336,0.06,0.0006489718817480521,0.0009352470559450509
405,N21217,334,0.06,0.0006451089538805042,0.000967583240808049
406,N22431,333,0.06,0.0006431774899467302,0.0004141451821166702
407,N23353,333,0.06,0.0006431774899467302,0.0003530230103835467
408,N23188,333,0.06,0.0006431774899467302,0.0006661934422300718
409,N22962,333,0.06,0.0006431774899467302,0.00030607214217818855
410,N21876,332,0.06,0.0006412460260129563,0.0005019312259303495
411,N21498,332,0.06,0.0006412460260129563,0.0004496903415522828
412,N22151,332,0.06,0.0006412460260129563,0.0006398960693786824
413,N22296,331,0.06,0.0006393145620791823,0.0005512780301884472
414,N84987,331,0.06,0.0006393145620791823,0.0004634024678848856
415,N22174,330,0.06,0.0006373830981454083,0.0006312243606058212
416,N23354,330,0.06,0.0006373830981454083,0.00035723669836025513
417,N21385,329,0.06,0.0006354516342116344,0.0003609332854130536
418,N85049A,328,0.06,0.0006335201702778604,0.00040189694638332376
419,N84997C,327,0.06,0.0006315887063440864,0.0014650680306879955
420,N22273,327,0.06,0.0006315887063440864,0.0006418359877123733
421,N20677,327,0.06,0.0006315887063440864,0.00045242434154916736
422,N23236,327,0.06,0.0006315887063440864,0.0006608065354565493
423,N22637,327,0.06,0.0006315887063440864,0.0007228860284520643
424,N22940,326,0.06,0.0006296572424103125,0.0006832367095450113
425,N22079,325,0.06,0.0006277257784765385,0.0003256250866859538
426,N85053,325,0.06,0.0006277257784765385,0.000382801072753312
427,N22746,325,0.06,0.0006277257784765385,0.00032164941257646255
428,N21506,324,0.06,0.0006257943145427645,0.0002202081130002236
429,N22970,323,0.06,0.0006238628506089906,0.001059293353954699
430,N22087,323,0.06,0.0006238628506089906,0.00120434279600821
431,N21240,322,0.06,0.0006219313866752166,0.0003007368401811866
432,N22739,322,0.06,0.0006219313866752166,0.00035402140483541377
433,N23175,322,0.06,0.0006219313866752166,0.0009507548178688282
434,N21494,321,0.06,0.0006199999227414427,0.0003769075966429245
435,N20679,320,0.06,0.0006180684588076687,0.001033482540424789
436,N21901,318,0.06,0.0006142055309401208,0.00013485591895264612
437,N71477,316,0.06,0.0006103426030725728,0.0020615792272347605
438,N84032A,315,0.06,0.0006084111391387989,0.0003496571151639617
